nama,harga,penjual,lokasi_toko,terjual,rating
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
Seblak Beton 1kg Pedas Daun Jeruk / Seblak Kerupuk JAAT 1kg ,Rp42.500,D&R-9 collection,Bandung,0,0
GFS Seblak Basah Instan Original - Tinggal Seduh 3 Menit Langsung Siap,Rp16.618,Lakoca Official Shop,Cimahi,100+ terjual,4.9
Seblak instant murah,Rp4.900,dapurbulbin,Bandung,0,0
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,Rp61.999,Sajodo Snack & Food,Tasikmalaya,40+ terjual,5.0
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.900,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
Kylafood Seblak Cup,Rp11.000,Kylafood Jakarta,Jakarta Selatan,100+ terjual,5.0
Pasar Keripik Kerupuk Seblak Mawar Pedas size Kiloan,Rp60.000,Pasar Keripik Bandung,Bandung,6 terjual,5.0
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,Rp7.138,Berkah Food Bandung,Cimahi,7rb+ terjual,4.9
Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Daun Jeruk 65 gr - Pilus Cikuran,Rp12.500,Lidigeli,Kab. Garut,60+ terjual,4.7
[PUTRI] Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,1rb+ terjual,5.0
Kerupuk Seblak Pedas Mini,Rp18.000,Snackzone PP,Jakarta Pusat,30+ terjual,5.0
SEBLAK CEKER CAP DUA PUTRA ISI 20 X 10 gram,Rp9.000,HRNWN STORE,Kab. Tangerang,40+ terjual,5.0
