Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager
28,No,Travel_Rarely,Research & Development,3,3,Medical,Female,Manufacturing Director,Medium,Divorced,7655,0,17,3,10,Good,9,7,1,7
37,Yes,Travel_Rarely,Research & Development,11,2,Medical,Female,Healthcare Representative,Medium,Married,4777,5,15,3,15,Bad,1,0,0,0
38,No,Travel_Rarely,Sales,2,2,Marketing,Male,Sales Executive,Medium,Single,7351,7,16,3,10,Better,1,0,0,0
55,Yes,Travel_Rarely,Research & Development,2,3,Medical,Male,Manager,Low,Married,19859,5,13,3,24,Better,5,2,1,4
31,No,Travel_Rarely,Sales,5,4,Life Sciences,Female,Sales Executive,Very High,Married,5476,1,11,3,10,Better,10,0,0,2
38,Yes,Travel_Rarely,Research & Development,2,3,Medical,Male,Manufacturing Director,Medium,Married,4855,4,11,3,7,Better,5,2,1,4
29,No,Non-Travel,Sales,2,3,Life Sciences,Male,Sales Executive,High,Married,4649,1,14,3,4,Good,4,3,0,2
34,No,Non-Travel,Sales,10,3,Life Sciences,Male,Sales Executive,High,Divorced,4001,1,14,3,15,Better,15,14,0,7
30,No,Travel_Rarely,Research & Development,16,3,Life Sciences,Male,Healthcare Representative,High,Married,5294,3,16,3,10,Better,7,0,1,7
27,No,Travel_Rarely,Research & Development,19,3,Other,Male,Laboratory Technician,Low,Divorced,4066,1,11,3,7,Better,7,7,0,7
30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,Male,Research Scientist,Very High,Single,2285,9,23,4,3,Better,1,0,0,0
28,No,Travel_Rarely,Research & Development,19,4,Medical,Male,Laboratory Technician,Low,Married,3196,1,12,3,6,Better,6,5,3,3
35,No,Travel_Rarely,Research & Development,25,2,Other,Male,Laboratory Technician,Very High,Single,3681,4,14,3,9,Better,3,2,0,2
