name,publisher,vgchartz_score,critic_score,user_score,total_shipped,total_sales,release_date,genre,release_year
Luxor,Activision,7.3,7.2,8.1,5066328.0,340568.42,2005-03-17,Puzzle,2005
Daikaijyuu Monogatari: Miracle of the Zone II,Hudson Soft,7.3,7.2,8.1,5066328.0,340568.42,1999-03-19,Strategy,1999
Akira Psychoball,Atari,7.3,7.2,8.1,5066328.0,340568.42,2002-02-21,Misc,2002
QuadTrix,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2009-05-08,Puzzle,2009
Monster Hunter World: Iceborne,Capcom,7.3,7.2,8.1,9700000.0,340568.42,2019-09-06,Role-Playing,2019
Ninja Sneaking,Microsoft,7.3,7.2,8.1,5066328.0,340568.42,2011-08-27,Platform,2011
Mass Effect 2 ,Electronic Arts,9.5,9.5,8.9,5066328.0,3100000.0,2010-01-26,Role-Playing,2010
Might & Magic Heroes VI - Shades of Darkness,Ubisoft,7.3,7.2,8.1,5066328.0,340568.42,2013-05-02,Misc,2013
The Biggest Loser,THQ,7.3,7.7,8.1,5066328.0,1070000.0,2009-10-06,Sports,2009
The Godfather II,Electronic Arts,7.3,7.2,8.1,5066328.0,0.0,2009-04-07,Adventure,2009
The Magical Quest starring Mickey Mouse (weekly jp sales),Capcom,7.3,7.2,8.1,5066328.0,520000.0,1992-12-01,Platform,1992
Zoids: Legacy,Atari,7.3,7.2,8.1,5066328.0,80000.0,2004-09-15,Role-Playing,2004
Dr. Mario: Miracle Cure,Nintendo,7.3,7.2,8.1,5066328.0,340568.42,2015-06-11,Puzzle,2015
Shin Bokura no Taiyou: Gyakushuu no Sabata,Konami,7.3,7.2,8.1,5066328.0,340568.42,2005-07-28,Role-Playing,2005
Trials HD - Big Pack,Microsoft,7.8,9.0,8.1,5066328.0,340568.42,2009-12-30,Misc,2009
Gods Eater Burst,D3 Publisher,7.3,7.1,8.1,470000.0,340568.42,2011-03-15,Action,2011
Mass Effect 3,Electronic Arts,9.4,7.2,8.1,5066328.0,3040000.0,2012-03-06,Role-Playing,2012
Last Escort: Kurochou Special Night,D3 Publisher,7.3,7.2,8.1,5066328.0,340568.42,2006-07-27,Adventure,2006
Goemon: Shin Sedai Shuumei!,Konami,7.3,7.2,8.1,5066328.0,340568.42,2001-12-20,Action,2001
Yu-Gi-Oh! Dark Duel Stories,Konami,7.3,6.2,8.1,5066328.0,830000.0,2002-03-18,Misc,2002
Metal Gear Ac!d 2,Konami,7.3,8.3,8.1,5066328.0,180000.0,2006-03-21,Strategy,2006
Geometry Wars: Retro Evolved 2,Activision,7.3,9.1,8.1,5066328.0,340568.42,2008-07-30,Shooter,2008
Shin Megami Tensei IV Double Hero Pack,Atlus,7.3,7.2,8.1,5066328.0,0.0,2018-04-19,Action,2018
Punch-Out!! Featuring Mr. Dream,Nintendo,7.3,7.2,8.1,5066328.0,340568.42,1990-08-01,Fighting,1990
Homefront 2,THQ,7.3,7.2,8.1,5066328.0,340568.42,2013-12-31,Shooter,2013
Tekken Revolution,Namco Bandai Games,7.3,7.2,8.1,5066328.0,340568.42,2013-06-11,Misc,2013
Driveclub,Sony Computer Entertainment,5.8,7.2,8.1,2000000.0,340568.42,2014-10-07,Racing,2014
Pokémon Mystery Dungeon: Explorers of Sky,Nintendo,7.3,5.7,8.1,1490000.0,340568.42,2009-10-12,Role-Playing,2009
My Spanish Coach,Ubisoft,7.3,7.2,8.1,5066328.0,430000.0,2007-11-06,Misc,2007
